Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Transport,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Scrap,2.587,Electricity,35.98,Rail,587.8,Heavy Fuel Oil,0.389,4.872,4.931,3.491,0.536,0.31,16.369,68.47,16.26,Reuse,91.09
End-of-Life,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,4.201,Coal,95.03,Truck,728.5,Heavy Fuel Oil,3.067,2.091,4.664,4.33,0.045,0.026,7.841,81.06,98.73,Landfill,15.04
Use,Conventional,2020-2025,North America,1 kg Copper Wire,Aluminium Ore,3.174,Natural Gas,38.71,Truck,970.2,Electric,4.211,4.192,2.343,2.074,0.273,0.056,17.362,81.29,99.97,Landfill,99.66
Raw Material Extraction,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,2.999,Electricity,77.13,Truck,945.3,Diesel,4.248,1.237,2.253,0.646,0.954,0.606,4.959,67.17,61.81,Reuse,35.82
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Copper Wire,Copper Ore,1.011,Natural Gas,67.49,Truck,525.1,Electric,3.862,2.601,4.261,2.76,0.561,0.877,8.368,13.4,2.88,Recycling,75.51
Use,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Scrap,3.291,Natural Gas,70.7,Ship,220.8,Diesel,0.682,0.073,1.753,2.95,0.392,0.437,18.131,34.83,51.4,Landfill,78.37
Raw Material Extraction,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,2.284,Electricity,62.59,Ship,863.7,Heavy Fuel Oil,4.748,0.735,4.633,2.461,0.258,0.459,19.611,49.26,32.88,Reuse,63.34
End-of-Life,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Ore,1.581,Coal,8.51,Ship,137.6,Diesel,0.64,0.76,0.694,3.204,0.182,0.346,17.987,47.4,66.76,Recycling,17.23
End-of-Life,Advanced,2015-2019,North America,1 kg Copper Wire,Aluminium Ore,1.365,Natural Gas,5.05,Rail,177.2,Diesel,1.393,0.885,0.444,0.603,0.461,0.206,7.603,50.34,69.04,Incineration,3.93
Raw Material Extraction,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,4.097,Natural Gas,63.16,Ship,90.9,Diesel,4.368,4.604,0.305,1.384,0.806,0.748,4.098,20.93,37.05,Incineration,48.45
End-of-Life,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.282,Coal,37.52,Ship,467.9,Electric,3.737,0.183,1.262,3.567,0.895,0.512,10.876,10.72,44.74,Reuse,53.26
Transport,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,1.591,Electricity,27.66,Ship,383.5,Electric,0.1,1.61,1.057,1.637,0.12,0.891,12.075,67.91,78.92,Reuse,49.84
Manufacturing,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,0.891,Natural Gas,54.17,Ship,591.0,Diesel,3.727,2.158,0.638,1.419,0.363,0.646,11.63,35.61,98.65,Reuse,60.58
End-of-Life,Emerging,2010-2014,North America,1 kg Copper Wire,Copper Scrap,1.568,Natural Gas,11.08,Rail,161.3,Diesel,1.23,0.803,0.933,1.425,0.173,0.897,2.065,52.45,41.04,Reuse,98.24
Manufacturing,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,1.004,Electricity,40.39,Truck,969.8,Electric,4.328,4.085,1.29,0.854,0.669,0.929,11.357,57.16,28.0,Incineration,76.95
Manufacturing,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,1.342,Natural Gas,33.04,Rail,431.2,Diesel,2.538,1.212,0.574,3.053,0.289,0.581,3.51,48.11,53.26,Reuse,5.18
Use,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,2.015,Natural Gas,14.31,Ship,72.7,Diesel,4.95,1.612,4.049,1.273,0.682,0.76,12.115,47.16,41.18,Landfill,34.89
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Scrap,4.683,Electricity,83.23,Rail,965.4,Diesel,0.621,3.654,4.692,0.906,0.066,0.741,11.702,84.18,13.98,Recycling,79.53
Use,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Scrap,1.407,Coal,17.2,Ship,172.6,Diesel,4.073,3.326,2.615,1.794,0.877,0.392,16.424,43.91,37.69,Reuse,46.27
Use,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,1.856,Coal,75.01,Truck,507.7,Heavy Fuel Oil,1.161,4.498,1.919,2.718,0.906,0.624,2.78,93.98,62.77,Reuse,33.49
Raw Material Extraction,Emerging,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,1.127,Natural Gas,79.61,Rail,623.9,Diesel,2.667,4.469,3.943,0.758,0.312,0.248,15.007,3.35,56.99,Landfill,76.25
Manufacturing,Conventional,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,4.445,Electricity,34.87,Ship,823.0,Heavy Fuel Oil,0.553,4.232,0.637,1.986,0.797,0.15,4.97,72.23,72.0,Incineration,64.11
End-of-Life,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,3.623,Natural Gas,54.73,Rail,259.3,Electric,1.728,0.908,4.542,2.917,0.401,0.462,18.972,15.34,58.62,Recycling,50.59
End-of-Life,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,3.252,Natural Gas,2.79,Ship,873.4,Electric,4.661,2.826,3.483,4.612,0.707,0.153,11.738,60.67,42.41,Landfill,73.64
Use,Conventional,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,4.705,Natural Gas,92.63,Ship,456.3,Electric,0.566,4.924,4.194,0.623,0.921,0.87,10.617,59.13,39.9,Reuse,5.48
Manufacturing,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,2.008,Electricity,80.48,Rail,14.6,Heavy Fuel Oil,1.667,1.991,2.687,4.599,0.346,0.347,14.881,45.22,22.46,Landfill,45.24
Use,Conventional,2020-2025,North America,1 kg Copper Wire,Aluminium Scrap,1.134,Electricity,18.46,Ship,503.4,Heavy Fuel Oil,2.095,4.574,1.812,2.903,0.632,0.013,13.439,17.8,96.11,Incineration,14.87
Use,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,2.366,Electricity,9.45,Rail,996.9,Electric,2.511,2.977,0.335,3.75,0.21,0.898,4.5,19.07,3.65,Recycling,47.21
Transport,Conventional,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,3.042,Electricity,7.51,Truck,777.8,Diesel,2.266,2.622,2.204,2.004,0.56,0.155,4.048,86.18,94.61,Recycling,37.33
End-of-Life,Conventional,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,1.718,Coal,64.76,Truck,414.6,Heavy Fuel Oil,0.127,0.781,3.58,3.295,0.027,0.222,5.006,67.19,1.97,Incineration,10.41
Transport,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Scrap,4.1,Electricity,18.68,Rail,656.2,Diesel,1.191,0.497,1.216,3.611,0.856,0.83,8.245,66.81,20.5,Incineration,29.31
End-of-Life,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,4.534,Electricity,2.29,Rail,94.7,Electric,1.039,0.133,0.907,2.915,0.421,0.893,16.44,34.18,25.94,Landfill,37.97
Raw Material Extraction,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,3.156,Natural Gas,27.54,Rail,627.9,Heavy Fuel Oil,2.047,2.76,2.181,1.472,0.948,0.764,3.232,86.85,48.74,Incineration,89.46
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,4.099,Natural Gas,43.1,Truck,32.2,Heavy Fuel Oil,1.343,2.708,3.167,1.289,0.139,0.835,19.696,52.57,17.17,Incineration,27.23
Use,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,0.583,Coal,91.52,Rail,126.6,Heavy Fuel Oil,2.883,1.37,2.771,3.257,0.83,0.206,0.714,13.69,90.0,Reuse,87.39
Use,Emerging,2010-2014,North America,1 kg Copper Wire,Copper Ore,3.188,Electricity,60.45,Ship,668.4,Heavy Fuel Oil,0.877,4.572,2.094,1.916,0.519,0.047,3.743,73.8,8.28,Landfill,60.32
Use,Emerging,2010-2014,South America,1 kg Copper Wire,Aluminium Ore,1.604,Natural Gas,39.54,Ship,295.8,Diesel,1.778,3.595,1.486,2.832,0.476,0.664,18.768,73.26,21.49,Reuse,3.12
Manufacturing,Advanced,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,1.68,Coal,59.91,Truck,60.9,Electric,2.482,2.984,1.671,3.855,0.107,0.075,14.7,49.55,68.84,Landfill,43.48
Raw Material Extraction,Conventional,2010-2014,South America,1 kg Copper Wire,Copper Ore,1.609,Coal,82.09,Ship,801.4,Electric,3.473,1.361,2.951,1.805,0.092,0.917,3.168,95.02,44.6,Reuse,18.51
Use,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Copper Scrap,2.939,Coal,87.42,Truck,734.9,Heavy Fuel Oil,4.033,3.294,3.461,4.246,0.25,0.489,4.814,98.77,94.41,Incineration,3.94
Use,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,3.675,Natural Gas,92.6,Rail,188.8,Heavy Fuel Oil,2.84,4.577,0.17,3.487,0.297,0.924,19.436,94.43,47.42,Incineration,86.2
Transport,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,4.3,Natural Gas,32.59,Truck,830.6,Electric,0.185,2.981,1.15,0.603,0.077,0.696,7.128,72.48,6.54,Landfill,31.53
Manufacturing,Conventional,2010-2014,South America,1 kg Copper Wire,Aluminium Scrap,2.928,Electricity,79.28,Truck,325.6,Heavy Fuel Oil,3.129,4.43,3.079,1.165,0.024,0.87,0.915,87.47,52.89,Landfill,93.91
Transport,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,4.095,Natural Gas,99.8,Truck,357.2,Diesel,3.836,2.01,2.399,3.138,0.874,0.984,15.481,41.78,42.14,Incineration,73.76
Manufacturing,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,1.574,Natural Gas,11.94,Ship,361.1,Heavy Fuel Oil,1.436,1.482,1.168,0.21,0.018,0.988,8.842,38.43,67.96,Incineration,21.83
Manufacturing,Conventional,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Ore,4.775,Natural Gas,78.85,Ship,98.5,Diesel,2.088,4.396,4.724,2.337,0.613,0.167,19.828,23.17,94.27,Recycling,64.96
Manufacturing,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Ore,3.235,Electricity,51.76,Rail,238.4,Heavy Fuel Oil,0.883,1.102,0.932,3.898,0.35,0.058,19.398,88.38,92.78,Landfill,99.49
End-of-Life,Advanced,2015-2019,South America,1 kg Copper Wire,Copper Scrap,1.283,Natural Gas,40.23,Rail,760.7,Electric,3.48,0.769,4.079,1.122,0.224,0.537,12.062,58.01,9.15,Recycling,87.75
End-of-Life,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Ore,1.695,Natural Gas,13.82,Rail,889.9,Diesel,4.778,4.311,4.048,3.276,0.551,0.087,8.465,37.27,25.98,Landfill,72.34
Manufacturing,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.731,Natural Gas,9.02,Ship,228.0,Electric,3.416,0.381,4.256,2.476,0.481,0.592,16.581,34.78,67.8,Reuse,56.57
Transport,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,1.702,Coal,87.98,Ship,799.5,Diesel,3.292,4.253,4.336,3.542,0.837,0.697,13.763,61.86,75.27,Landfill,15.86
Transport,Emerging,2010-2014,Asia,1 kg Copper Wire,Aluminium Ore,4.464,Coal,87.31,Truck,39.0,Electric,4.129,0.644,1.676,3.718,0.161,0.818,16.727,50.75,0.64,Landfill,28.7
Transport,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Scrap,3.276,Coal,98.14,Rail,635.5,Electric,1.299,3.17,2.7,3.899,0.107,0.761,11.055,96.3,34.19,Incineration,63.26
Use,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,4.694,Natural Gas,11.15,Rail,937.9,Electric,3.439,0.339,1.505,3.541,0.067,0.582,7.245,62.09,4.57,Reuse,87.15
Use,Conventional,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,4.881,Coal,96.92,Ship,752.2,Diesel,0.65,3.791,0.123,0.111,0.324,0.489,15.523,68.33,44.59,Recycling,27.36
Manufacturing,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.987,Coal,43.19,Truck,456.9,Diesel,0.818,3.974,3.468,1.104,0.082,0.68,13.263,27.33,95.09,Reuse,15.11
End-of-Life,Emerging,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,2.446,Coal,94.42,Ship,425.5,Diesel,3.193,1.988,1.371,4.92,0.409,0.894,4.984,21.31,3.11,Reuse,65.17
Transport,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Ore,2.158,Electricity,86.57,Ship,478.5,Heavy Fuel Oil,4.841,0.928,4.343,3.883,0.771,0.845,15.34,62.62,13.12,Reuse,3.25
Transport,Emerging,2015-2019,Europe,1 kg Copper Wire,Aluminium Ore,4.644,Natural Gas,62.05,Ship,798.6,Heavy Fuel Oil,2.408,0.587,0.626,3.428,0.43,0.201,10.086,6.42,58.2,Recycling,26.9
Use,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,4.089,Electricity,31.73,Rail,460.7,Heavy Fuel Oil,0.058,0.362,1.962,2.4,0.6,0.292,14.052,86.01,77.99,Reuse,3.96
Use,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,2.662,Natural Gas,11.39,Ship,249.6,Electric,4.933,0.712,2.494,3.091,0.702,0.56,0.691,32.65,51.77,Reuse,8.79
Raw Material Extraction,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,2.078,Natural Gas,4.29,Rail,87.8,Diesel,1.985,0.664,2.838,3.447,0.801,0.2,3.766,10.46,63.64,Reuse,70.65
Raw Material Extraction,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Copper Ore,0.642,Natural Gas,93.69,Rail,61.5,Heavy Fuel Oil,2.706,3.545,4.355,3.57,0.802,0.339,16.389,8.01,89.48,Incineration,54.76
Use,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Ore,4.178,Natural Gas,45.78,Truck,647.1,Electric,2.632,3.658,0.408,0.302,0.247,0.16,17.5,21.92,97.59,Landfill,33.69
Raw Material Extraction,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Scrap,1.32,Electricity,79.18,Ship,662.1,Electric,2.491,2.777,3.596,1.142,0.996,0.975,13.181,19.95,68.02,Incineration,7.22
End-of-Life,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,0.638,Coal,26.51,Ship,468.0,Heavy Fuel Oil,4.341,3.636,3.714,2.127,0.346,0.371,19.759,4.01,86.7,Incineration,57.87
End-of-Life,Emerging,2015-2019,South America,1 kg Copper Wire,Copper Ore,2.474,Coal,72.8,Truck,491.8,Electric,4.367,4.504,2.109,1.384,0.592,0.912,4.608,62.3,63.16,Reuse,73.31
Manufacturing,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,1.092,Coal,71.87,Ship,909.9,Heavy Fuel Oil,0.898,1.188,4.857,0.905,0.854,0.492,5.321,87.07,44.53,Landfill,51.48
Use,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Copper Scrap,2.117,Electricity,59.7,Rail,171.9,Heavy Fuel Oil,1.955,4.847,1.291,3.284,0.325,0.773,3.052,96.98,45.38,Recycling,23.61
Manufacturing,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Copper Scrap,0.831,Natural Gas,17.81,Ship,524.6,Electric,1.685,4.144,2.154,1.244,0.617,0.707,3.757,16.76,3.67,Reuse,73.64
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Scrap,3.487,Coal,47.99,Truck,845.7,Electric,4.028,2.927,4.341,1.029,0.112,0.27,1.613,53.12,93.66,Recycling,3.93
Manufacturing,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,1.049,Natural Gas,45.77,Truck,934.5,Electric,1.581,2.536,0.208,0.742,0.987,0.965,0.596,95.18,63.91,Recycling,86.79
Use,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,2.546,Natural Gas,52.04,Truck,494.0,Heavy Fuel Oil,3.334,0.698,0.15,1.54,0.705,0.202,13.632,96.99,9.39,Incineration,67.26
Transport,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,2.497,Coal,86.95,Rail,185.4,Diesel,3.463,4.191,4.723,3.416,0.497,0.618,17.444,57.06,3.04,Landfill,93.09
Manufacturing,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,3.603,Natural Gas,67.97,Rail,223.5,Diesel,3.294,1.969,3.256,0.533,0.658,0.999,1.44,97.72,40.69,Landfill,87.08
Use,Emerging,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,4.021,Natural Gas,57.13,Ship,741.1,Electric,4.393,2.021,1.635,3.338,0.808,0.762,16.057,43.56,81.78,Landfill,12.02
Raw Material Extraction,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,2.95,Coal,1.57,Ship,331.3,Heavy Fuel Oil,1.832,1.981,3.477,1.943,0.449,0.238,7.778,22.73,7.32,Incineration,60.34
Manufacturing,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,3.507,Coal,62.33,Ship,468.9,Electric,1.899,4.317,2.595,2.396,0.026,0.341,7.914,39.88,58.02,Incineration,53.36
Transport,Conventional,2010-2014,South America,1 kg Copper Wire,Aluminium Ore,3.236,Coal,76.72,Rail,814.9,Electric,3.591,4.778,0.091,0.979,0.008,0.647,18.012,24.35,92.7,Recycling,6.03
