Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Transport,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,1.899,Electricity,33.19,Rail,732.3,Heavy Fuel Oil,0.36,0.018,0.011,0.007,0.019,0.009,0.396,82.97,54.43,Recycling,62.88
Use,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Ore,3.71,Electricity,76.32,Rail,565.7,Electric,0.76,0.038,0.023,0.015,0.037,0.019,0.837,27.82,0.0,Incineration,20.0
End-of-Life,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Ore,0.614,Electricity,11.68,Rail,41.1,Heavy Fuel Oil,0.1,0.005,0.003,0.002,0.006,0.003,0.11,90.42,83.55,Recycling,78.73
Raw Material Extraction,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Copper Ore,1.622,Coal,41.63,Ship,758.0,Electric,0.383,0.019,0.011,0.008,0.016,0.008,0.421,17.49,58.31,Recycling,33.71
Use,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Scrap,4.117,Coal,19.47,Truck,893.6,Electric,0.221,0.011,0.007,0.004,0.041,0.021,0.244,81.76,65.36,Recycling,70.39
Raw Material Extraction,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Scrap,0.995,Electricity,23.57,Ship,432.8,Heavy Fuel Oil,0.243,0.012,0.007,0.005,0.01,0.005,0.267,82.61,40.1,Recycling,56.17
Manufacturing,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,2.378,Coal,22.99,Truck,128.7,Electric,0.24,0.012,0.007,0.005,0.024,0.012,0.264,19.17,73.22,Incineration,28.76
End-of-Life,Emerging,2020-2025,Asia,1 kg Copper Wire,Copper Ore,3.664,Coal,37.0,Rail,972.1,Diesel,0.598,0.03,0.018,0.012,0.037,0.018,0.658,79.73,41.2,Recycling,68.67
End-of-Life,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,0.732,Natural Gas,28.59,Truck,909.2,Diesel,0.539,0.027,0.016,0.011,0.007,0.004,0.593,75.79,75.1,Recycling,67.89
Manufacturing,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,1.589,Electricity,67.54,Rail,764.0,Diesel,1.458,0.073,0.044,0.029,0.016,0.008,1.603,70.91,68.06,Recycling,55.67
Manufacturing,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Scrap,3.351,Electricity,54.04,Rail,99.4,Electric,0.514,0.026,0.015,0.01,0.034,0.017,0.565,89.23,70.0,Recycling,76.98
Manufacturing,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Scrap,0.575,Natural Gas,51.7,Rail,234.2,Heavy Fuel Oil,0.462,0.023,0.014,0.009,0.006,0.003,0.508,84.74,21.61,Recycling,58.76
Raw Material Extraction,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,4.715,Coal,14.61,Rail,347.7,Diesel,0.282,0.014,0.008,0.006,0.047,0.024,0.31,22.78,60.88,Landfill,38.37
Raw Material Extraction,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.998,Electricity,53.44,Ship,249.4,Diesel,1.097,0.055,0.033,0.022,0.03,0.015,1.206,23.91,15.26,Landfill,20.0
Transport,Emerging,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,3.767,Coal,89.81,Rail,888.2,Electric,0.954,0.048,0.029,0.019,0.038,0.019,1.049,26.09,44.53,Reuse,35.09
Manufacturing,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,0.541,Coal,11.05,Ship,666.9,Heavy Fuel Oil,0.131,0.007,0.004,0.003,0.005,0.003,0.144,22.37,52.13,Reuse,35.32
Use,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,3.705,Electricity,24.49,Ship,332.1,Electric,0.264,0.013,0.008,0.005,0.037,0.019,0.29,26.34,76.37,Incineration,48.42
Raw Material Extraction,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.057,Electricity,10.27,Ship,374.0,Diesel,0.187,0.009,0.006,0.004,0.031,0.015,0.206,71.84,38.46,Recycling,53.01
Transport,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,4.514,Electricity,63.48,Rail,796.9,Electric,0.808,0.04,0.024,0.016,0.045,0.023,0.889,20.47,48.9,Recycling,29.62
Raw Material Extraction,Conventional,2020-2025,South America,1 kg Copper Wire,Copper Scrap,3.751,Electricity,28.8,Ship,34.1,Diesel,0.514,0.026,0.015,0.01,0.038,0.019,0.566,84.82,35.53,Recycling,60.19
Manufacturing,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Scrap,0.57,Natural Gas,92.9,Ship,433.9,Electric,0.887,0.044,0.027,0.018,0.006,0.003,0.976,87.77,85.68,Recycling,76.45
End-of-Life,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,1.926,Natural Gas,17.78,Truck,561.2,Diesel,0.362,0.018,0.011,0.007,0.019,0.01,0.398,83.85,22.32,Recycling,51.62
End-of-Life,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.268,Electricity,99.02,Truck,148.7,Electric,1.095,0.055,0.033,0.022,0.033,0.016,1.204,80.51,57.45,Recycling,68.57
Use,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Ore,3.661,Electricity,36.59,Truck,300.7,Electric,0.385,0.019,0.012,0.008,0.037,0.018,0.423,22.57,50.3,Recycling,50.67
Manufacturing,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.092,Coal,65.35,Truck,704.9,Heavy Fuel Oil,0.669,0.033,0.02,0.013,0.041,0.02,0.736,20.88,52.71,Incineration,24.02
Transport,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,0.923,Natural Gas,58.25,Truck,45.6,Electric,0.717,0.036,0.022,0.014,0.009,0.005,0.789,61.33,53.73,Recycling,44.09
Transport,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,0.637,Coal,4.7,Rail,824.4,Diesel,0.086,0.004,0.003,0.002,0.006,0.003,0.094,76.65,93.41,Recycling,76.33
Raw Material Extraction,Emerging,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Scrap,1.471,Electricity,62.67,Truck,94.5,Heavy Fuel Oil,0.63,0.031,0.019,0.013,0.015,0.007,0.693,73.48,70.0,Recycling,67.91
Transport,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Ore,3.767,Coal,97.61,Rail,521.1,Heavy Fuel Oil,1.078,0.054,0.032,0.022,0.038,0.019,1.186,16.86,31.11,Recycling,20.0
Manufacturing,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,0.853,Natural Gas,3.51,Ship,963.0,Electric,0.037,0.002,0.001,0.001,0.009,0.004,0.041,24.33,52.0,Landfill,31.29
Transport,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Copper Scrap,1.204,Natural Gas,25.77,Truck,553.7,Diesel,0.564,0.028,0.017,0.011,0.012,0.006,0.621,92.66,47.55,Recycling,73.61
Use,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Ore,3.253,Coal,42.54,Ship,255.3,Diesel,0.959,0.048,0.029,0.019,0.033,0.016,1.054,16.46,76.66,Reuse,42.77
End-of-Life,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.634,Coal,10.69,Truck,496.7,Electric,0.093,0.005,0.003,0.002,0.026,0.013,0.102,78.95,0.1,Recycling,33.01
Raw Material Extraction,Advanced,2010-2014,Asia,1 kg Copper Wire,Copper Ore,3.271,Electricity,63.87,Ship,54.9,Heavy Fuel Oil,0.731,0.037,0.022,0.015,0.033,0.016,0.804,12.82,87.45,Recycling,41.44
Transport,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Ore,3.464,Natural Gas,17.13,Rail,79.9,Heavy Fuel Oil,0.168,0.008,0.005,0.003,0.035,0.017,0.185,20.3,52.94,Landfill,31.96
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Copper Ore,3.09,Coal,39.43,Ship,646.9,Heavy Fuel Oil,0.478,0.024,0.014,0.01,0.031,0.015,0.526,10.24,36.96,Landfill,22.85
Transport,Conventional,2010-2014,Europe,1 kg Copper Wire,Aluminium Ore,4.825,Natural Gas,90.63,Truck,203.8,Diesel,1.724,0.086,0.052,0.034,0.048,0.024,1.897,21.04,57.7,Reuse,31.28
Transport,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,0.605,Natural Gas,81.63,Ship,289.0,Heavy Fuel Oil,0.845,0.042,0.025,0.017,0.006,0.003,0.93,16.54,83.49,Recycling,43.2
Transport,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Scrap,3.808,Electricity,80.54,Truck,289.2,Heavy Fuel Oil,0.85,0.042,0.025,0.017,0.038,0.019,0.935,72.9,43.18,Recycling,47.62
Manufacturing,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,3.994,Natural Gas,34.74,Rail,931.4,Heavy Fuel Oil,0.34,0.017,0.01,0.007,0.04,0.02,0.374,90.99,56.51,Recycling,72.16
Use,Emerging,2010-2014,Europe,1 kg Copper Wire,Copper Ore,0.964,Natural Gas,90.35,Truck,510.2,Electric,0.856,0.043,0.026,0.017,0.01,0.005,0.942,24.75,35.22,Reuse,30.73
Raw Material Extraction,Emerging,2010-2014,Asia,1 kg Copper Wire,Copper Scrap,0.549,Electricity,90.63,Rail,100.4,Heavy Fuel Oil,0.936,0.047,0.028,0.019,0.005,0.003,1.029,78.7,41.94,Recycling,59.1
End-of-Life,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.343,Coal,45.4,Ship,300.3,Electric,0.509,0.025,0.015,0.01,0.033,0.017,0.56,68.03,81.56,Recycling,69.98
Use,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Ore,4.053,Electricity,10.03,Ship,499.5,Electric,0.101,0.005,0.003,0.002,0.041,0.02,0.111,16.61,84.63,Reuse,41.42
Manufacturing,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,2.079,Natural Gas,12.59,Ship,151.6,Diesel,0.267,0.013,0.008,0.005,0.021,0.01,0.294,26.79,31.33,Reuse,26.95
End-of-Life,Emerging,2010-2014,North America,1 kg Copper Wire,Copper Scrap,4.198,Natural Gas,70.92,Rail,90.5,Diesel,1.213,0.061,0.036,0.024,0.042,0.021,1.334,65.93,25.63,Recycling,42.15
End-of-Life,Advanced,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Ore,3.997,Natural Gas,56.28,Rail,430.0,Electric,0.546,0.027,0.016,0.011,0.04,0.02,0.6,79.95,59.76,Recycling,63.64
End-of-Life,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,1.035,Electricity,12.64,Truck,652.7,Diesel,0.266,0.013,0.008,0.005,0.01,0.005,0.293,95.33,68.37,Recycling,77.02
Raw Material Extraction,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,1.786,Natural Gas,86.99,Ship,231.4,Electric,0.876,0.044,0.026,0.018,0.018,0.009,0.964,24.92,49.47,Landfill,32.52
Use,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,2.854,Electricity,63.31,Ship,698.8,Diesel,1.539,0.077,0.046,0.031,0.029,0.014,1.693,16.16,83.08,Landfill,42.23
End-of-Life,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,0.705,Electricity,28.82,Ship,950.9,Electric,0.285,0.014,0.009,0.006,0.007,0.004,0.314,89.76,48.21,Recycling,68.08
End-of-Life,Emerging,2010-2014,North America,1 kg Copper Wire,Copper Scrap,1.347,Coal,46.91,Ship,359.8,Diesel,0.867,0.043,0.026,0.017,0.013,0.007,0.954,81.5,46.84,Recycling,68.87
Use,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Scrap,1.893,Coal,81.57,Ship,687.9,Electric,0.876,0.044,0.026,0.018,0.019,0.009,0.964,94.77,80.5,Recycling,78.92
Manufacturing,Advanced,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.397,Electricity,5.48,Ship,36.1,Heavy Fuel Oil,0.061,0.003,0.002,0.001,0.044,0.022,0.067,75.31,44.3,Recycling,62.14
Transport,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,4.865,Natural Gas,84.37,Rail,839.9,Diesel,1.274,0.064,0.038,0.025,0.049,0.024,1.401,15.49,37.83,Landfill,22.6
Raw Material Extraction,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,4.391,Natural Gas,81.48,Truck,999.7,Diesel,1.63,0.082,0.049,0.033,0.044,0.022,1.793,80.47,63.25,Recycling,68.65
Use,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Copper Scrap,2.527,Natural Gas,13.79,Truck,954.5,Heavy Fuel Oil,0.119,0.006,0.004,0.002,0.025,0.013,0.131,85.35,85.91,Recycling,84.75
Transport,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Ore,2.112,Natural Gas,12.24,Ship,674.9,Heavy Fuel Oil,0.141,0.007,0.004,0.003,0.021,0.011,0.156,20.58,87.69,Recycling,45.7
Use,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,2.984,Natural Gas,56.53,Truck,877.9,Electric,0.508,0.025,0.015,0.01,0.03,0.015,0.558,18.65,92.34,Recycling,50.65
Use,Emerging,2010-2014,Europe,1 kg Aluminium Sheet,Copper Scrap,1.458,Electricity,14.5,Ship,24.4,Diesel,0.321,0.016,0.01,0.006,0.015,0.007,0.353,62.41,16.33,Recycling,27.54
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,4.569,Natural Gas,35.48,Ship,518.8,Heavy Fuel Oil,0.338,0.017,0.01,0.007,0.046,0.023,0.371,93.34,84.72,Recycling,82.22
Transport,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Ore,4.773,Coal,15.56,Rail,927.3,Diesel,0.258,0.013,0.008,0.005,0.048,0.024,0.284,19.72,75.76,Incineration,40.0
Manufacturing,Emerging,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,2.717,Electricity,33.55,Truck,637.1,Electric,0.331,0.017,0.01,0.007,0.027,0.014,0.365,19.62,17.97,Landfill,20.0
Manufacturing,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,2.056,Natural Gas,89.78,Rail,479.2,Heavy Fuel Oil,0.809,0.04,0.024,0.016,0.021,0.01,0.89,22.52,29.39,Incineration,20.0
Manufacturing,Emerging,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Scrap,1.297,Electricity,9.78,Rail,129.4,Diesel,0.168,0.008,0.005,0.003,0.013,0.006,0.184,78.08,41.15,Recycling,44.09
Transport,Emerging,2010-2014,South America,1 kg Copper Wire,Copper Ore,3.607,Electricity,4.89,Rail,801.4,Electric,0.045,0.002,0.001,0.001,0.036,0.018,0.05,21.07,37.75,Landfill,24.53
Raw Material Extraction,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.128,Natural Gas,75.08,Rail,192.7,Heavy Fuel Oil,0.71,0.035,0.021,0.014,0.041,0.021,0.781,13.86,70.0,Incineration,33.38
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,2.16,Natural Gas,46.79,Truck,750.0,Heavy Fuel Oil,0.495,0.025,0.015,0.01,0.022,0.011,0.544,83.11,70.0,Recycling,75.15
Transport,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Ore,0.982,Coal,45.29,Rail,537.3,Electric,0.416,0.021,0.012,0.008,0.01,0.005,0.458,15.48,36.26,Incineration,22.0
End-of-Life,Emerging,2015-2019,South America,1 kg Copper Wire,Aluminium Scrap,1.949,Natural Gas,21.93,Truck,334.2,Diesel,0.513,0.026,0.015,0.01,0.019,0.01,0.564,88.82,39.84,Recycling,67.74
Transport,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,0.891,Natural Gas,54.17,Truck,591.0,Heavy Fuel Oil,0.518,0.026,0.016,0.01,0.009,0.004,0.57,95.82,64.18,Recycling,70.24
Transport,Conventional,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,2.134,Natural Gas,64.95,Ship,575.1,Electric,0.559,0.028,0.017,0.011,0.021,0.011,0.615,85.63,26.99,Recycling,51.17
Transport,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,1.34,Coal,29.22,Ship,181.6,Heavy Fuel Oil,0.219,0.011,0.007,0.004,0.013,0.007,0.241,23.42,47.81,Landfill,30.41
Use,Emerging,2010-2014,South America,1 kg Copper Wire,Aluminium Ore,4.395,Electricity,81.89,Ship,265.3,Diesel,1.72,0.086,0.052,0.034,0.044,0.022,1.892,15.11,41.99,Reuse,28.11
Manufacturing,Advanced,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,3.072,Natural Gas,28.72,Rail,771.8,Electric,0.271,0.014,0.008,0.005,0.031,0.015,0.298,69.98,74.2,Recycling,50.96
Transport,Advanced,2010-2014,South America,1 kg Copper Wire,Aluminium Scrap,1.591,Natural Gas,12.37,Truck,614.5,Diesel,0.263,0.013,0.008,0.005,0.016,0.008,0.29,63.38,69.01,Recycling,53.24
Manufacturing,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,2.897,Coal,6.13,Ship,343.2,Heavy Fuel Oil,0.058,0.003,0.002,0.001,0.029,0.014,0.063,23.8,86.59,Incineration,50.4
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Copper Wire,Copper Ore,3.18,Natural Gas,47.69,Truck,417.7,Electric,0.504,0.025,0.015,0.01,0.032,0.016,0.555,18.98,47.42,Landfill,25.44
Transport,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,4.723,Coal,18.94,Ship,75.8,Diesel,0.397,0.02,0.012,0.008,0.047,0.024,0.437,27.9,37.6,Recycling,29.56
End-of-Life,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Scrap,4.079,Electricity,20.96,Truck,172.0,Heavy Fuel Oil,0.218,0.011,0.007,0.004,0.041,0.02,0.24,75.79,74.35,Recycling,78.01
Use,Conventional,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,2.115,Coal,87.84,Rail,398.5,Electric,0.856,0.043,0.026,0.017,0.021,0.011,0.942,26.51,26.47,Recycling,20.0
Manufacturing,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Ore,1.856,Electricity,75.01,Rail,507.7,Heavy Fuel Oil,0.775,0.039,0.023,0.015,0.019,0.009,0.852,18.9,56.59,Landfill,21.03
End-of-Life,Advanced,2015-2019,South America,1 kg Copper Wire,Copper Scrap,4.579,Natural Gas,62.8,Rail,125.7,Electric,0.638,0.032,0.019,0.013,0.046,0.023,0.702,85.69,56.88,Recycling,63.59
Raw Material Extraction,Emerging,2010-2014,Europe,1 kg Aluminium Sheet,Copper Ore,4.073,Natural Gas,62.39,Rail,538.1,Diesel,1.27,0.064,0.038,0.025,0.041,0.02,1.398,21.24,30.81,Landfill,20.0
Manufacturing,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,1.618,Natural Gas,74.65,Ship,43.2,Electric,0.859,0.043,0.026,0.017,0.016,0.008,0.945,22.01,33.05,Reuse,28.37
Transport,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,4.196,Coal,11.95,Ship,848.0,Diesel,0.233,0.012,0.007,0.005,0.042,0.021,0.256,70.21,31.11,Recycling,49.44
Manufacturing,Advanced,2010-2014,Asia,1 kg Copper Wire,Aluminium Ore,1.532,Coal,72.5,Truck,722.8,Electric,0.825,0.041,0.025,0.017,0.015,0.008,0.908,25.04,45.52,Landfill,32.13
Transport,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Scrap,2.056,Coal,18.98,Rail,909.4,Electric,0.156,0.008,0.005,0.003,0.021,0.01,0.172,94.96,53.09,Recycling,68.44
Transport,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.19,Coal,59.04,Ship,510.8,Heavy Fuel Oil,0.578,0.029,0.017,0.012,0.012,0.006,0.636,80.47,96.73,Recycling,81.88
End-of-Life,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Ore,4.651,Natural Gas,71.02,Rail,161.0,Heavy Fuel Oil,0.844,0.042,0.025,0.017,0.047,0.023,0.928,93.45,70.0,Recycling,72.17
End-of-Life,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Ore,4.705,Coal,92.63,Ship,456.3,Electric,1.161,0.058,0.035,0.023,0.047,0.024,1.278,85.24,61.18,Recycling,66.42
Raw Material Extraction,Conventional,2015-2019,South America,1 kg Copper Wire,Copper Ore,2.008,Coal,80.48,Ship,14.6,Electric,0.723,0.036,0.022,0.014,0.02,0.01,0.796,11.73,56.46,Reuse,28.81
Raw Material Extraction,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Scrap,2.059,Coal,35.35,Truck,740.1,Diesel,0.601,0.03,0.018,0.012,0.021,0.01,0.661,77.39,53.12,Recycling,59.2
Transport,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Scrap,1.294,Coal,50.34,Truck,424.7,Heavy Fuel Oil,0.492,0.025,0.015,0.01,0.013,0.006,0.541,86.96,97.73,Recycling,88.21
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,0.559,Coal,66.69,Truck,186.3,Electric,0.614,0.031,0.018,0.012,0.006,0.003,0.675,78.35,70.01,Recycling,67.97
End-of-Life,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,3.179,Coal,7.64,Ship,752.5,Electric,0.078,0.004,0.002,0.002,0.032,0.016,0.086,78.56,61.4,Recycling,61.1
Use,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,0.664,Natural Gas,47.73,Ship,569.2,Electric,0.544,0.027,0.016,0.011,0.007,0.003,0.598,6.7,0.0,Reuse,20.0
Raw Material Extraction,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,3.018,Natural Gas,16.37,Rail,190.1,Diesel,0.281,0.014,0.008,0.006,0.03,0.015,0.309,16.11,17.79,Reuse,23.93
Raw Material Extraction,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Copper Ore,0.614,Natural Gas,16.46,Rail,718.8,Heavy Fuel Oil,0.163,0.008,0.005,0.003,0.006,0.003,0.179,20.15,25.91,Incineration,20.0
Use,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Ore,3.524,Natural Gas,2.95,Truck,113.1,Electric,0.028,0.001,0.001,0.001,0.035,0.018,0.031,22.45,51.67,Landfill,35.46
Raw Material Extraction,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Scrap,0.947,Electricity,25.07,Ship,725.0,Electric,0.257,0.013,0.008,0.005,0.009,0.005,0.282,82.53,94.7,Recycling,74.11
Transport,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,1.422,Coal,30.02,Ship,897.4,Heavy Fuel Oil,0.31,0.015,0.009,0.006,0.014,0.007,0.341,67.49,58.48,Recycling,56.21
Transport,Emerging,2010-2014,South America,1 kg Copper Wire,Aluminium Scrap,4.178,Electricity,34.84,Rail,266.8,Diesel,0.788,0.039,0.024,0.016,0.042,0.021,0.867,62.47,55.13,Recycling,46.22
End-of-Life,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,2.342,Coal,55.65,Ship,441.8,Electric,0.568,0.028,0.017,0.011,0.023,0.012,0.625,79.03,61.83,Recycling,66.24
Use,Advanced,2010-2014,Asia,1 kg Copper Wire,Aluminium Ore,4.408,Electricity,49.26,Rail,895.6,Electric,0.476,0.024,0.014,0.01,0.044,0.022,0.524,26.73,100.0,Incineration,56.73
Raw Material Extraction,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Copper Ore,1.66,Natural Gas,14.8,Rail,836.6,Diesel,0.297,0.015,0.009,0.006,0.017,0.008,0.326,21.74,61.9,Recycling,31.74
